,y,x,y_test_pred
272,23.45936889748869,85.46091014436125,7.806718
273,23.459099402903455,85.46091014436125,7.806718
274,23.45882990831822,85.46091014436125,7.806718
275,23.458560413732982,85.46091014436125,7.806718
276,23.458290919147746,85.46091014436125,7.806718
277,23.45802142456251,85.46091014436125,7.806718
278,23.457751929977274,85.46091014436125,7.806718
279,23.457482435392038,85.46091014436125,7.806718
617,23.472574132165246,85.46144913353172,7.806718
618,23.47230463758001,85.46144913353172,7.806718
619,23.472035142994777,85.46144913353172,7.806718
620,23.47176564840954,85.46144913353172,7.806718
621,23.471496153824305,85.46144913353172,7.806718
622,23.47122665923907,85.46144913353172,7.806718
623,23.470957164653832,85.46144913353172,7.806718
624,23.470687670068596,85.46144913353172,7.806718
892,23.45155355451685,85.46171862811696,7.9825177
893,23.451284059931613,85.46171862811696,8.107696
894,23.451014565346377,85.46171862811696,8.107696
964,23.43214994437987,85.46171862811696,7.97754
965,23.431880449794633,85.46171862811696,3.0745971
966,23.431610955209397,85.46171862811696,1.8672951
967,23.43134146062416,85.46171862811696,1.8672951
968,23.431071966038925,85.46171862811696,4.222248
969,23.43080247145369,85.46171862811696,7.806718
970,23.430532976868452,85.46171862811696,7.806718
971,23.430263482283216,85.46171862811696,4.222248
972,23.42999398769798,85.46171862811696,1.8672951
973,23.429724493112747,85.46171862811696,1.8672951
1054,23.460985865000104,85.4619881227022,7.806718
1055,23.46071637041487,85.4619881227022,7.806718
1237,23.464758789193407,85.46225761728742,4.222248
1238,23.46448929460817,85.46225761728742,4.113271
1239,23.464219800022935,85.46225761728742,7.806718
1240,23.4639503054377,85.46225761728742,7.806718
1309,23.445355179056424,85.46225761728742,4.4962373
1310,23.445085684471188,85.46225761728742,7.806718
1311,23.444816189885955,85.46225761728742,7.806718
1312,23.44454669530072,85.46225761728742,7.806718
1313,23.444277200715483,85.46225761728742,7.806718
1314,23.444007706130247,85.46225761728742,7.806718
1315,23.44373821154501,85.46225761728742,4.222248
1316,23.443468716959774,85.46225761728742,4.222248
1317,23.44319922237454,85.46225761728742,4.222248
1318,23.442929727789302,85.46225761728742,1.8672951
1400,23.473921605091427,85.46252711187266,7.806718
1582,23.477964023869966,85.4627966064579,5.8654385
1583,23.47769452928473,85.4627966064579,5.8654385
1584,23.477425034699493,85.4627966064579,7.806718
1655,23.458290919147746,85.4627966064579,1.8672951
1656,23.45802142456251,85.4627966064579,1.8672951
1657,23.457751929977274,85.4627966064579,3.38934
1658,23.457482435392038,85.4627966064579,3.38934
1659,23.4572129408068,85.4627966064579,1.8672951
1660,23.45694344622157,85.4627966064579,1.8672951
1661,23.456673951636333,85.4627966064579,2.0326054
1662,23.456404457051097,85.4627966064579,3.0745971
1663,23.45613496246586,85.4627966064579,1.7470353
1664,23.455865467880624,85.4627966064579,1.8672951
1665,23.455595973295388,85.4627966064579,2.0326054
1666,23.455326478710152,85.4627966064579,1.8672951
1723,23.439965287351708,85.4627966064579,4.222248
1724,23.43969579276647,85.4627966064579,2.0326054
2001,23.47122665923907,85.46333559562837,7.806718
2002,23.470957164653832,85.46333559562837,2.7696133
2003,23.470687670068596,85.46333559562837,2.7696133
2004,23.47041817548336,85.46333559562837,6.598673
2005,23.470148680898124,85.46333559562837,1.8997033
2006,23.469879186312887,85.46333559562837,1.8672951
2007,23.46960969172765,85.46333559562837,1.8672951
2008,23.469340197142415,85.46333559562837,1.8672951
2009,23.46907070255718,85.46333559562837,1.8672951
2010,23.468801207971946,85.46333559562837,8.687364
2011,23.46853171338671,85.46333559562837,7.806718
2068,23.453170522028266,85.46333559562837,8.107696
2069,23.45290102744303,85.46333559562837,7.8155437
